,segment_idx,excluded,n_rpeaks_noisy,n_RRI_detected,n_RRI_suprathresh,suprathresh_RRI_values,notes
114,114,False,5.0,377.0,20.0,"[ 422.5  332.5  752.5  375.   725.   357.5  732.5  730.  1960.   757.5
  777.5 1540.   780.   787.5 1560.   797.5  800.   405.   380.   795. ]",
115,115,False,5.0,376.0,15.0,"[ 777.5  290.   520.   812.5 1625.   815.   420.   312.5  730.   732.5
 1457.5  720.   717.5  252.5  465. ]",
116,116,False,2.0,364.0,13.0,"[ 342.5  777.5  782.5  282.5  275.   952.5  850.  1650.   362.5  445.
  495.   355.   852.5]",
117,117,False,1.0,347.0,2.0,[370.  452.5],
118,118,False,5.0,349.0,10.0,[ 587.5  262.5  862.5  467.5  372.5 1635.   802.5  765.  2275.   765. ],
119,119,False,1.0,359.0,3.0,[ 777.5 1570.   797.5],
120,120,False,0.0,362.0,1.0,[1452.5],
121,121,False,1.0,370.0,3.0,[ 725. 1465.  750.],
122,122,False,2.0,373.0,6.0,[ 815.  1650.   810.   807.5 1625.   797.5],
123,123,False,13.0,384.0,24.0,"[ 690.  4170.   680.   677.5 1347.5  677.5  710.   710.   720.   720.
  700.  1947.5  700.   700.   505.   872.5 1380.   765.   395.   352.5
  377.5  370.   737.5 3205. ]",
124,124,False,0.0,377.0,0.0,[],
125,125,False,3.0,368.0,3.0,[1387.5  587.5  977.5],
126,126,False,3.0,366.0,19.0,"[ 770.  1525.   747.5  747.5  290.   460.  1482.5  740.   732.5  290.
  437.5  917.5  497.5  740.  1510.   762.5  810.  1622.5  810. ]",
127,127,False,0.0,352.0,0.0,[],
128,128,False,0.0,351.0,8.0,[ 607.5 1000.   535.   290.   805.   560.  1797.5  772.5],
129,129,False,0.0,341.0,3.0,[770.  337.5 437.5],
130,130,False,2.0,345.0,12.0,"[ 892.5  412.5  475.   887.5  602.5  952.5  785.  1587.5  795.   845.
 2477.5  812.5]",
131,131,False,0.0,335.0,0.0,[],
132,132,False,8.0,336.0,25.0,"[ 905.   440.   465.   897.5  907.5  480.   425.   900.   542.5 1242.5
  890.  1772.5  887.5  900.  1777.5  892.5  877.5 1765.   897.5  887.5
 2682.5  892.5  890.  1770.   900. ]",
133,133,False,1.0,337.0,0.0,[],
134,134,False,0.0,331.0,0.0,[],
135,135,False,6.0,343.0,9.0,[ 867.5 1700.   837.5  810.   290.   525.   892.5 1790.   890. ],
136,136,False,0.0,355.0,2.0,[ 647.5 1042.5],
137,137,False,3.0,359.0,6.0,[ 837.5 1650.   830.   800.  1577.5  762.5],
138,138,False,0.0,365.0,0.0,[],
139,139,False,2.0,374.0,6.0,[ 795.  1612.5  802.5  805.  1600.   802.5],
140,140,False,3.0,393.0,11.0,"[ 770.  1542.5  767.5  692.5 2060.   695.   840.   507.5  547.5 1477.5
  665. ]",
141,141,False,1.0,391.0,11.0,"[ 767.5  397.5  362.5  765.   772.5 1540.   770.   610.   962.5  515.
  950. ]",
142,142,False,5.0,375.0,10.0,[ 280.  1290.   575.   917.5  812.5 2417.5  797.5  800.  1602.5  805. ],
143,143,False,1.0,374.0,7.0,[ 547.5 1032.5  537.5 1010.   465.   290.   750. ],
144,144,False,1.0,360.0,7.0,[ 790.  1537.5  765.   907.5  782.5 1582.5  802.5],
145,145,False,0.0,357.0,0.0,[],
146,146,False,0.0,351.0,0.0,[],
147,147,False,2.0,342.0,6.0,[ 842.5 1697.5  852.5  882.5 1745.   870. ],
